order_id,order_date,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,cost_price,list_price,quantity,discount_percent,sales,discount,profit,customer_id
33,2023-01-30,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10001525,10,10,6,5,60,3.0,-3.0,Con_Phi_Pen
34,2022-06-03,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10001683,20,20,2,4,40,1.6,-1.6000000000000014,Con_Phi_Pen
35,2022-09-28,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,OFF-PA-10000249,30,30,3,3,90,2.7,-2.700000000000003,Hom_Hou_Tex
36,2022-10-30,First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,TEC-PH-10004977,1020,1100,7,5,7700,385.0,175.0,Cor_Ric_Tex
37,2023-07-27,First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,FUR-FU-10003664,180,190,5,4,950,38.0,12.0,Cor_Ric_Tex
38,2023-03-07,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,OFF-EN-10002986,90,110,9,2,990,19.8,160.20000000000005,Hom_Hou_Tex
39,2023-08-18,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,FUR-BO-10002545,460,530,3,2,1590,31.8,178.20000000000005,Hom_Hou_Tex
40,2022-01-20,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004218,200,210,3,2,630,12.6,17.399999999999977,Hom_Hou_Tex
41,2023-06-29,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,TEC-PH-10000486,350,370,4,5,1480,74.0,6.0,Hom_Hou_Tex
42,2022-06-28,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,TEC-PH-10004093,140,150,4,3,600,18.0,22.0,Cor_Nap_Ill
43,2023-02-09,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,OFF-ST-10003479,70,80,2,5,160,8.0,12.0,Cor_Los_Cal
44,2023-09-18,Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,OFF-ST-10003282,90,100,2,4,200,8.0,12.0,Cor_Mel_Flo
45,2022-11-11,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,TEC-AC-10000171,40,50,2,2,100,2.0,18.0,Cor_Eag_Min
46,2022-05-27,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,OFF-BI-10003291,20,20,2,5,40,2.0,-2.0,Cor_Eag_Min
47,2023-02-03,Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,OFF-ST-10001713,180,210,4,4,840,33.6,86.39999999999998,Con_Wes_Mic
48,2022-02-16,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,TEC-AC-10002167,50,50,3,5,150,7.5,-7.5,Con_Dov_Del
49,2022-05-06,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,TEC-PH-10003988,20,20,2,4,40,1.6,-1.6000000000000014,Con_Dov_Del
50,2023-06-18,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,OFF-BI-10004410,30,40,6,4,240,9.6,50.400000000000006,Con_New_Ind
51,2022-01-11,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,OFF-LA-10002762,70,80,6,4,480,19.2,40.80000000000001,Con_New_Ind
52,2023-09-09,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,FUR-FU-10001706,10,10,2,4,20,0.8,-0.8000000000000007,Con_New_Ind
53,2022-01-31,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,FUR-CH-10003061,70,90,1,5,90,4.5,15.5,Con_New_Ind
54,2023-07-30,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,OFF-FA-10000304,20,20,7,3,140,4.2,-4.199999999999989,Cor_New_New
55,2023-10-17,Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,TEC-PH-10002447,850,1030,5,4,5150,206.0,694.0,Cor_New_New
56,2023-07-06,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,OFF-ST-10000604,200,210,6,5,1260,63.0,-3.0,Con_Tro_New
57,2023-09-15,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10001569,30,30,5,5,150,7.5,-7.5,Con_Tro_New
58,2022-08-09,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,FUR-CH-10003968,290,320,5,2,1600,32.0,118.0,Con_Tro_New
59,2022-04-05,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10000587,10,10,2,4,20,0.8,-0.8000000000000007,Con_Tro_New
60,2023-06-24,First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,TEC-AC-10002167,20,30,2,5,60,3.0,17.0,Con_Tro_New
61,2022-03-10,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,OFF-BI-10001460,40,50,4,2,200,4.0,36.0,Con_Tro_New
62,2023-04-08,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,OFF-AR-10001868,0,0,1,5,0,0.0,0.0,Con_Tro_New
63,2023-10-16,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,TEC-AC-10004633,10,10,2,3,20,0.6,-0.6000000000000014,Con_Los_Cal
64,2023-08-02,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,OFF-BI-10001078,20,30,6,2,180,3.6,56.400000000000006,Con_Los_Cal
65,2022-11-05,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10003892,130,150,3,5,450,22.5,37.5,Con_Los_Cal
66,2022-05-06,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10000397,70,80,4,2,320,6.4,33.60000000000002,Con_Los_Cal
67,2022-03-26,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,FUR-CH-10001146,180,210,5,5,1050,52.5,97.5,Hom_Chi_Ill
68,2022-04-10,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,OFF-AR-10002671,940,1110,8,3,8880,266.4,1093.6000000000004,Cor_Gil_Ari
69,2022-08-12,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,TEC-PH-10002726,160,170,4,3,680,20.4,19.600000000000023,Cor_Gil_Ari
70,2022-02-25,First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,OFF-PA-10000482,70,80,2,2,160,3.2,16.80000000000001,Con_Spr_Vir
71,2022-11-29,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,OFF-BI-10004654,0,0,1,3,0,0.0,0.0,Con_New_New
72,2022-12-18,Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,OFF-PA-10004675,20,20,3,3,60,1.8,-1.7999999999999972,Con_Jac_Mic
73,2023-03-07,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,FUR-CH-10000513,790,830,8,2,6640,132.8,187.19999999999982,Con_Mem_Ten
74,2023-07-12,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,FUR-FU-10003708,90,100,2,3,200,6.0,14.0,Con_Mem_Ten
75,2022-10-21,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,OFF-ST-10004123,60,70,1,2,70,1.4,8.599999999999994,Con_Mem_Ten
76,2023-04-17,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,OFF-BI-10004182,0,0,3,4,0,0.0,0.0,Cor_Hou_Tex
77,2023-05-20,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,FUR-FU-10000260,10,10,3,4,30,1.2,-1.1999999999999993,Cor_Hou_Tex
78,2023-05-13,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,OFF-ST-10000615,20,30,3,2,90,1.8,28.200000000000003,Cor_Hou_Tex
79,2022-10-20,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,FUR-FU-10003194,20,20,5,2,100,2.0,-2.0,Con_Hou_Tex
80,2023-10-22,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,OFF-AP-10002118,190,210,1,3,210,6.3,13.699999999999989,Cor_Dec_Ala
81,2022-07-20,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,OFF-BI-10002309,20,20,3,2,60,1.2,-1.2000000000000028,Cor_Dec_Ala
82,2022-11-16,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10002053,10,10,5,5,50,2.5,-2.5,Con_San_Cal
83,2022-11-10,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,OFF-ST-10002370,20,20,1,4,20,0.8,-0.8000000000000007,Con_San_Cal
84,2022-03-15,Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,OFF-EN-10000927,180,200,7,3,1400,42.0,98.0,Cor_Dur_Nor
85,2023-10-03,First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,OFF-ST-10003656,210,230,3,2,690,13.8,46.200000000000045,Hom_Chi_Ill
86,2022-03-20,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,FUR-CH-10000863,260,300,2,5,600,30.0,50.0,Con_Col_Sou
87,2023-12-04,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,TEC-AC-10001998,20,20,1,5,20,1.0,-1.0,Con_Roc_Min
88,2023-11-24,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,OFF-LA-10000134,10,10,2,5,20,1.0,-1.0,Con_Roc_Min
89,2023-12-30,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,OFF-ST-10003442,140,160,7,5,1120,56.0,84.0,Hom_Hou_Tex
90,2022-05-23,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,OFF-AR-10004930,20,20,3,2,60,1.2,-1.2000000000000028,Cor_Los_Cal
91,2023-04-06,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,TEC-PH-10004093,60,70,2,2,140,2.8,17.19999999999999,Cor_Los_Cal
92,2022-03-23,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,OFF-PA-10000304,10,10,1,2,10,0.2,-0.1999999999999993,Cor_Los_Cal
93,2023-04-07,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,OFF-PA-10003177,10,10,2,2,20,0.4,-0.3999999999999986,Con_Min_Min
94,2022-05-13,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,FUR-FU-10003799,50,50,3,5,150,7.5,-7.5,Con_Min_Min
95,2022-04-23,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,OFF-BI-10002852,20,30,2,3,60,1.8,18.200000000000003,Con_Min_Min
96,2023-12-17,Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,OFF-BI-10004738,10,10,1,2,10,0.2,-0.1999999999999993,Hom_Por_Ore
97,2022-04-28,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,FUR-FU-10000629,80,100,7,5,700,35.0,105.0,Hom_New_New
98,2023-06-14,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,OFF-BI-10001721,40,50,3,4,150,6.0,24.0,Con_San_Cal
99,2023-02-05,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,OFF-AP-10000358,70,80,6,3,480,14.4,45.60000000000002,Cor_Sai_Min
100,2023-12-30,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,OFF-PA-10003256,60,60,7,3,420,12.6,-12.600000000000023,Hom_Chi_Ill
101,2022-02-24,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,TEC-AC-10001767,80,100,3,5,300,15.0,45.0,Hom_Chi_Ill
102,2022-07-25,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,OFF-BI-10002609,0,0,3,3,0,0.0,0.0,Hom_Chi_Ill
103,2022-01-14,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,OFF-PA-10004040,20,20,4,4,80,3.2,-3.200000000000003,Con_Roc_Min
104,2022-12-22,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,TEC-AC-10001552,220,240,6,3,1440,43.2,76.79999999999995,Con_Aur_Col
105,2022-06-09,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,FUR-FU-10004006,90,100,3,5,300,15.0,15.0,Con_Aur_Col
106,2023-10-28,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,OFF-BI-10002794,30,40,3,5,120,6.0,24.0,Con_Aur_Col
107,2022-10-18,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,TEC-AC-10003499,60,70,8,5,560,28.0,52.0,Con_Cha_Nor
108,2022-11-23,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,TEC-PH-10002844,30,30,1,3,30,0.9,-0.8999999999999986,Con_Cha_Nor
109,2023-10-12,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,OFF-AR-10000390,0,0,1,3,0,0.0,0.0,Con_Cha_Nor
110,2023-03-17,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,TEC-AC-10000844,290,340,5,2,1700,34.0,216.0,Hom_Orl_Ill
111,2023-09-05,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,FUR-FU-10001934,30,40,2,2,80,1.6,18.400000000000006,Cor_New_New
112,2022-01-28,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,OFF-AR-10000380,70,80,2,3,160,4.8,15.199999999999989,Con_Urb_Iow
113,2022-12-26,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,OFF-BI-10003981,30,30,6,3,180,5.4,-5.400000000000006,Con_Urb_Iow
114,2023-06-06,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10000621,40,40,14,2,560,11.2,-11.200000000000045,Con_Col_Ohi
115,2023-11-08,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002600,0,0,2,4,0,0.0,0.0,Con_Col_Ohi
116,2022-11-15,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10004965,20,20,3,4,60,2.4,-2.3999999999999986,Con_Col_Ohi
117,2022-06-30,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002504,120,130,6,5,780,39.0,21.0,Con_Col_Ohi
118,2023-10-27,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,FUR-TA-10001768,720,790,3,4,2370,94.8,115.19999999999982,Con_Sea_Was
119,2023-07-19,Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,OFF-BI-10003650,140,160,1,5,160,8.0,12.0,Cor_Bri_Ten
120,2023-03-30,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,FUR-FU-10002157,50,50,3,3,150,4.5,-4.5,Con_Wil_Del
121,2022-03-03,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,OFF-BI-10003910,20,30,4,2,120,2.4,37.599999999999994,Con_Wil_Del
122,2022-10-20,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,OFF-ST-10000777,190,230,6,2,1380,27.6,212.4000000000001,Con_Wil_Del
123,2023-01-23,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,OFF-EN-10002500,110,120,9,4,1080,43.2,46.799999999999955,Con_Wil_Del
124,2023-01-21,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,TEC-PH-10003875,60,70,7,2,490,9.8,60.19999999999999,Con_Wil_Del
125,2023-07-18,Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004063,550,600,3,3,1800,54.0,96.0,Hom_Hou_Tex
126,2023-07-15,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,FUR-TA-10004534,540,620,6,4,3720,148.8,331.1999999999998,Con_Blo_Ill
127,2022-07-14,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,OFF-BI-10003274,0,0,2,4,0,0.0,0.0,Con_Pho_Ari
128,2023-03-30,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,OFF-ST-10002974,200,240,7,4,1680,67.2,212.79999999999995,Con_Pho_Ari
129,2023-09-18,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,FUR-CH-10001146,70,80,2,2,160,3.2,16.80000000000001,Hom_Los_Cal
130,2022-01-03,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10003773,220,240,3,4,720,28.8,31.200000000000045,Hom_Los_Cal
131,2022-07-17,First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,TEC-PH-10002293,50,60,5,3,300,9.0,41.0,Cor_Col_Ohi
132,2022-03-30,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10002377,80,80,2,4,160,6.4,-6.400000000000006,Cor_Col_Ohi
133,2022-05-01,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10002780,20,20,9,5,180,9.0,-9.0,Cor_Col_Ohi
134,2023-04-29,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001804,20,20,3,4,60,2.4,-2.3999999999999986,Con_Ros_Cal
135,2022-10-28,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001736,30,40,1,5,40,2.0,8.0,Con_Ros_Cal
136,2022-03-05,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,OFF-AR-10001149,10,10,4,5,40,2.0,-2.0,Con_Ros_Cal
137,2022-03-28,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,OFF-FA-10002988,0,0,2,5,0,0.0,0.0,Con_Ros_Cal
138,2023-10-16,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,OFF-BI-10004781,70,80,3,2,240,4.8,25.19999999999999,Con_Ros_Cal
139,2022-05-15,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,OFF-SU-10001218,60,70,6,5,420,21.0,39.0,Con_Ros_Cal
140,2023-06-06,Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,FUR-FU-10001706,40,40,14,2,560,11.2,-11.200000000000045,Con_Ros_Cal
141,2022-06-10,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,60,80,2,2,160,3.2,36.80000000000001,Cor_Phi_Pen
142,2022-07-22,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10000940,10,10,3,3,30,0.9,-0.8999999999999986,Cor_San_Cal
143,2023-12-27,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,OFF-EN-10004030,10,10,3,2,30,0.6,-0.6000000000000014,Cor_San_Cal
144,2023-11-29,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,OFF-PA-10004327,130,140,3,5,420,21.0,9.0,Cor_San_Cal
145,2022-03-19,Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,OFF-AP-10001058,780,840,3,2,2520,50.4,129.5999999999999,Con_Ind_Mis
146,2023-06-04,Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,OFF-ST-10003656,600,670,7,3,4690,140.7,349.3000000000002,Con_Pas_Cal
147,2023-05-31,Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,FUR-FU-10000521,80,90,4,4,360,14.4,25.600000000000023,Hom_New_Ohi
148,2022-06-12,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10000215,350,380,11,4,4180,167.2,162.80000000000018,Cor_Fra_Wis
149,2022-05-18,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10001448,140,150,3,5,450,22.5,7.5,Cor_Fra_Wis
150,2022-01-23,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,FUR-CH-10000454,1580,1950,8,3,15600,468.0,2492.0,Cor_Fra_Wis
151,2023-08-21,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,OFF-BI-10002735,150,170,5,4,850,34.0,66.0,Cor_Fra_Wis
152,2023-08-31,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,OFF-AP-10000326,140,160,5,5,800,40.0,60.0,Hom_Sco_Ari
